czech_word,english_word
ahoj,hello
dům,house
kočka,cat
pes,dog
slunce,sun
auto,car
škola,school
jablko,apple
strom,tree
květina,flower
voda,water
den,day
noc,night
snídaně,breakfast
město,city
vesnice,village
hora,mountain
řeka,river
kniha,book
okno,window
stůl,table
židle,chair
lampa,lamp
strop,ceiling
země,earth
hvězda,star
měsíc,moon
čas,time
hodina,hour
minuta,minute
sekunda,second
rok,year
zima,winter
léto,summer
podzim,autumn
jaro,spring
kluk,boy
holka,girl
muž,man
žena,woman
přítel,friend
dítě,child
rodina,family
člověk,person
jméno,name
kniha,book
noviny,newspaper
časopis,magazine
počítač,computer
telefon,phone
televize,television
filmový,film
hudba,music
hra,game
sport,sport
fotbal,football
běh,run
chůze,walk
plavání,swimming
jízdní kolo,bicycle
vlak,train
letadlo,airplane
loď,boat
škola,school
třída,classroom
učitel,teacher
student,student
lékař,doctor
nemocnice,hospital
lék,medicine
peníze,money
práce,job
kancelář,office
obchod,store
restaurace,restaurant
hotel,hotel
let,flight
dovolená,holiday
měsíc,month
týden,week
dům,home
byt,apartment
stůl,desk
židle,seat
postel,bed
polštář,pillow
deka,blanket
police,shelf
skříň,wardrobe
lednička,fridge
kuchyně,kitchen
koupelna,bathroom
sprcha,shower
vana,bath
umyvadlo,sink
zrcadlo,mirror
obývací pokoj,living room
jídelna,dining room
klíč,key
dveře,door
zámek,lock
okno,window
zahrada,garden
tráva,grass
strom,tree
květina,flower
pták,bird
motýl,butterfly
slunce,sun
obloha,sky
mrak,cloud
vítr,wind
déšť,rain
sníh,snow
blesk,lightning
bouřka,storm
krása,beauty
zvuk,sound
hlas,voice
úsměv,smile
láska,love
přátelství,friendship
rodina,family
srdce,heart
duše,soul
mozek,brain
zdraví,health
život,life
smrt,death
štěstí,happiness
smutek,sadness
strach,fear
naděje,hope
přání,wish
sen,dream
práce,work
čas,time
odpočinek,rest
cestování,travel
radost,joy
smutek,sorrow
úspěch,success
neúspěch,failure
pocit,feeling
slib,promise
tajemství,secret
barva,color
červená,red
modrá,blue
zelená,green
žlutá,yellow
černá,black
bílá,white
fialová,purple
růžová,pink
